model_id,model_hash,operator,site,severity,protocol_id,run_id,run_timestamp,git_commit,trace_hash,feature_hash,in_frozen_variant_manifest,in_frozen_experiment_matrix,outcome_generated,outcome_summarized,outcome_viewed_by_claude,outcome_viewed_by_human,possible_design_influence,recommended_classification,evidence_paths,note
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,4,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,1e2753dc2df841bcb8a215836b98a931f63150c2cfb6be08eec765b99825eadf,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_scale_gate_slope_4.png,"spikes_before_after=[8, 5]; max_abs_dv_mV=118.23781204223633"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,5,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,e8f990452f6879a07415b89e45426da264f3e08c6c5ac24ffbfb9d1942f63e41,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_scale_gate_slope_5.png,"spikes_before_after=[8, 16]; max_abs_dv_mV=116.10822677612305"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,0,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,de5d3c122ee75a4f85ca5905897697fea6891614ca1387ea57627f0050c059c8,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_forward_rate_midpoint_0.png,"spikes_before_after=[8, 7]; max_abs_dv_mV=113.30611419677734"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,1,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,d39eb4ee6774fae632401e90e4f9bf81ce9225ec606387f74466b7893575fa86,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_forward_rate_midpoint_1.png,"spikes_before_after=[8, 9]; max_abs_dv_mV=115.74618148803711"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,2,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,d14515d3da182d40ee5a870fa04108f5bfa7d1d710213ceebb1619b69b22862f,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_forward_rate_midpoint_2.png,"spikes_before_after=[8, 7]; max_abs_dv_mV=112.85229110717773"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,3,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,146c0b2d6e797f92f741369fb1042515b9266f6d9bacd63e1d1466bc7d641146,,yes,yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_forward_rate_midpoint_3.png,"spikes_before_after=[8, 8]; max_abs_dv_mV=117.89810562133789"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,4,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,17a9424b7e25affc56ca4970db17f4c5d8e63a33f5714433e26a860ddd92e009,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_forward_rate_midpoint_4.png,"spikes_before_after=[8, 18]; max_abs_dv_mV=116.7237663269043"
acnet2_pyr_soma,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,5,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,8b9d48962ab0d91253e76f70ba2c645be9269d71061557e5d8f1c63eea420142,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/acnet2_pyr_soma_shift_forward_rate_midpoint_5.png,"spikes_before_after=[8, 5]; max_abs_dv_mV=114.58401107788086"
acnet2_pyr_soma,,shift_channel_vshift,,,P00_canonical,,2026-09-17T21:19:14+00:00,cffd026,,,no,no,no,yes,yes,yes,yes,L1_static_contact_only (operator inapplicable; the inapplicability reason was used in the protocol text),results/audits/kinetics_pilot2/kinetics_validation.json,no eligible site
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,0,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,f627fe7f4f8cccce5d09581d26118d92ad56ae97e4264e9df741a8b8c2ea2f13,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_shift_gate_midpoint_0.png,"spikes_before_after=[1, 1]; max_abs_dv_mV=91.86864471435547"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,1,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,09321cb704e52d047995b0053b751801b2965c2b369d6a451287b423929e93c3,,yes,yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_shift_gate_midpoint_1.png,"spikes_before_after=[1, 1]; max_abs_dv_mV=82.54999923706055"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,2,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,e73796c0610e30a17fa77650b495974f6567babc1e70cdb025d24b4dd69fe459,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_shift_gate_midpoint_2.png,"spikes_before_after=[1, 1]; max_abs_dv_mV=75.31527709960938"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,3,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,6fe2244063808059113eea75d4ea74aa3c8b97649f5a46ca8476def790c149cd,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_shift_gate_midpoint_3.png,"spikes_before_after=[1, 2]; max_abs_dv_mV=105.50315856933594"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,4,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,540505870b936913472c5721e111a9ed68c540fcec53ce4279e599d64b188ea7,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_shift_gate_midpoint_4.png,"spikes_before_after=[1, 1]; max_abs_dv_mV=39.73659586906433"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,5,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,711c24d923fca2b5eda46763d12ced01757192ad0ace3f792342476b2ccdb212,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_shift_gate_midpoint_5.png,"spikes_before_after=[1, 1]; max_abs_dv_mV=14.493465423583984"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,0,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,2db14d93b92f5e1477b304286f17d4ffe37e8836166857bb012cd58f8ea8605a,,yes,yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_scale_gate_slope_0.png,"spikes_before_after=[1, 2]; max_abs_dv_mV=104.88448333740234"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,1,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,cbb2e570ab0de35056ad92d098f1ba306be5d78776f80c7e3d1de97e245a67ea,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_scale_gate_slope_1.png,"spikes_before_after=[1, 1]; max_abs_dv_mV=108.76999282836914"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,2,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,f4c23eca88a8a815ef5c07afe574379392a34afc30dd63ca1ea1b8dca0fc1a71,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_scale_gate_slope_2.png,"spikes_before_after=[1, 1]; max_abs_dv_mV=7.12286376953125"
migliore2014_mt_soma,not recorded per site (workspace tree hash not stored),scale_gate_slope,3,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,a49a1342d5370f9e1bde6b3ca8460c3a224c09b7b40f78c8183b65d5950f479a,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/migliore2014_mt_soma_scale_gate_slope_3.png,"spikes_before_after=[1, 1]; max_abs_dv_mV=12.59139633178711"
migliore2014_mt_soma,,shift_forward_rate_midpoint,,,P00_canonical,,2026-09-17T21:19:14+00:00,cffd026,,,no,no,no,yes,yes,yes,yes,L1_static_contact_only (operator inapplicable; the inapplicability reason was used in the protocol text),results/audits/kinetics_pilot2/kinetics_validation.json,gate has a steady-state element; a forward-only shift would be overridden
migliore2014_mt_soma,,shift_channel_vshift,,,P00_canonical,,2026-09-17T21:19:14+00:00,cffd026,,,no,no,no,yes,yes,yes,yes,L1_static_contact_only (operator inapplicable; the inapplicability reason was used in the protocol text),results/audits/kinetics_pilot2/kinetics_validation.json,no eligible site
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,0,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,2109677ddff38be7353a12b3a84655b0bb31ec0c87d2c200ab4820d810e2ee5a,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_gate_midpoint_0.png,"spikes_before_after=[7, 30]; max_abs_dv_mV=109.26360702514648"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,1,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,d2d7951443235a20c44b77cf0b96ce9815ef2772a7c1e3497713bfce7090d3c7,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_gate_midpoint_1.png,"spikes_before_after=[7, 23]; max_abs_dv_mV=108.97344970703125"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,2,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,c9ee635076b1dfc199cdb163486e9e91a61fb150dfe1994a4c27f6f5df0a9bad,,yes,yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_gate_midpoint_2.png,"spikes_before_after=[7, 0]; max_abs_dv_mV=95.59040832519531"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,3,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,3639cfc7a9bd73c13ff3fa0187b7667c17bdba5b17adaa07948326f2a560eac2,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_gate_midpoint_3.png,"spikes_before_after=[7, 0]; max_abs_dv_mV=97.37583541870117"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,4,strong,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,65558d9014062043f03fcee01d590733ffd2550fd9a7893f57ff395fdfb1a696,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_gate_midpoint_4.png,"spikes_before_after=[7, 1]; max_abs_dv_mV=92.12603187561035"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_gate_midpoint,5,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,3f3594aa72bb46b86d328ffcbfac2c34b73b113da8b3168df36fd35a3dd61b3c,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_gate_midpoint_5.png,"spikes_before_after=[7, 1]; max_abs_dv_mV=91.66021728515625"
nml2_hh_example,not recorded per site (workspace tree hash not stored),scale_gate_slope,0,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,3966dc535c27fc6ec544456dfaf9235fe1b193f0efdde5999248b90690ccf15a,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_scale_gate_slope_0.png,"spikes_before_after=[7, 1]; max_abs_dv_mV=91.94503402709961"
nml2_hh_example,not recorded per site (workspace tree hash not stored),scale_gate_slope,1,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,52458c86d955482757e37eabbe08e055fe4a99172db11e472b45d82731893134,,yes,yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_scale_gate_slope_1.png,"spikes_before_after=[7, 19]; max_abs_dv_mV=105.76884460449219"
nml2_hh_example,not recorded per site (workspace tree hash not stored),scale_gate_slope,2,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,5bfe24cbb3373f3b34d95248f8ce3bcbeb566c6936f2a3f1691f1888630e693c,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_scale_gate_slope_2.png,"spikes_before_after=[7, 7]; max_abs_dv_mV=106.0042724609375"
nml2_hh_example,not recorded per site (workspace tree hash not stored),scale_gate_slope,3,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,1dbfe01b79da87d7312e55e6234b2a885f384d57084f53408f3fff1f816447f5,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_scale_gate_slope_3.png,"spikes_before_after=[7, 1]; max_abs_dv_mV=91.5639419555664"
nml2_hh_example,not recorded per site (workspace tree hash not stored),scale_gate_slope,4,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,32dcb12210ad53b6c5ba06c81768c53ca69a42b4be86a1fafda49b909e4f42d1,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_scale_gate_slope_4.png,"spikes_before_after=[7, 8]; max_abs_dv_mV=106.49794960021973"
nml2_hh_example,not recorded per site (workspace tree hash not stored),scale_gate_slope,5,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,596641877344c9d2ccdd979b91d35bf4ce917e56c029d6b874df9a1d78900e6d,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_scale_gate_slope_5.png,"spikes_before_after=[7, 1]; max_abs_dv_mV=91.93365859985352"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,0,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,2737c792498a2e011204ce8dc9100915de961efc0b7483ece06b078318020aeb,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_forward_rate_midpoint_0.png,"spikes_before_after=[7, 20]; max_abs_dv_mV=110.43896102905273"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,1,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,66e5ed01d05da827c2eade7fa709120f164c9cb207cbe4b016351b4c13977bc9,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_forward_rate_midpoint_1.png,"spikes_before_after=[7, 1]; max_abs_dv_mV=91.99210548400879"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,2,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,1518e6f9e8871ef85aa325f75b807aaf280d97ecf5f716cac7b5881d296806c8,,yes,yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_forward_rate_midpoint_2.png,"spikes_before_after=[7, 1]; max_abs_dv_mV=91.75249099731445"
nml2_hh_example,not recorded per site (workspace tree hash not stored),shift_forward_rate_midpoint,3,mild,P00_canonical,not recorded in the validation table (runs are under results/audits/kinetics_pilot2/raw),2026-09-17T21:19:14+00:00,cffd026,85c5d37a1a0eb9dae28715c641a989f54a8858727117fccf77e8f66a45741c0d,,"same model and operator, different site",yes,yes,yes,yes,yes,yes,L4_outcome_exposure_with_possible_design_influence,results/audits/kinetics_pilot2/kinetics_validation.json;results/audits/kinetics_pilot2/plots/nml2_hh_example_shift_forward_rate_midpoint_3.png,"spikes_before_after=[7, 7]; max_abs_dv_mV=105.62686157226562"
