model_id,name,source_family,decision,exact_reason,publication,license,license_url,snapshot,commit,validation,validation_errors,execution,recording_location,current_response,response_type,rheobase_nA,rebound_spikes_P08,sag_ratio_P07,estimated_variant_runtime_s,runtime_within_budget,convergence,refinement_excluded,deterministic,mutation_applicability,semantic_operators_with_site,ion_channels,protocols_compatible,pilot2_selected
migliore2014_mt_soma,Migliore et al. 2014 olfactory bulb mitral-cell soma (MT_soma test cell),migliore2014,eligible,all criteria met,"Migliore M, Cavarretta F, Hines ML, Shepherd GM (2014). Distributed organization of a brain microcircuit analyzed by three-dimensional modeling: the olfactory bulb. Frontiers in Computational Neuroscience 8. doi:10.3389/fncom.2014.00050",MIT,https://github.com/OpenSourceBrain/MiglioreEtAl14_OlfactoryBulb3D/blob/eaad1c8f4afc9a19ff7b2492c150e8b42cc18edf/LICENSE,MiglioreEtAl14_OlfactoryBulb3D@eaad1c8f,eaad1c8f4afc9a19ff7b2492c150e8b42cc18edf,pass,,pass,pass,pass,tonic,0.024690936411447307,0.0,2.0129526736024145e-05,1589.8,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,kamt;kdrmt;nax__sh10;pas,pass,yes
nml2_hh_example,NeuroML2 single-compartment Hodgkin-Huxley example cell,neuroml2_examples,eligible,all criteria met,"Hodgkin AL, Huxley AF (1952). A quantitative description of membrane current and its application to conduction and excitation in nerve. J Physiol 117(4):500-544. doi:10.1113/jphysiol.1952.sp004764 (NeuroML2 teaching implementation)",LGPL-3.0,https://github.com/NeuroML/NeuroML2/blob/a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58/LICENSE.lesser,NeuroML2@a5f5dadc,a5f5dadccd23606e683eaa0dd58dd2c3b2a7ed58,pass,,pass,pass,pass,single_spike,0.022436992008742575,1.0,0.34640087069052167,571.1,pass,pass,0/64,pass,pass,duplicate_conductance;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_segment_group,kChan;naChan;passiveChan,pass,yes
osb_hh2_477127614,OSB HH2 point neuron tuned to Allen Cell Types specimen 477127614 (HH2_477127614),osb_allen_hh2,eligible,all criteria met,"Repository CITATION.md: Sadeh S, Silver RA, Mrsic-Flogel TD, Muir DR (2017). Assessing the Role of Inhibition in Stabilizing Neocortical Networks Requires Large-Scale Perturbation of the Inhibitory Population. Journal of Neuroscience 37(49):12050-12067. doi:10.1523/JNEUROSCI.0963-17.2017. The cell was tuned by OSB to Allen Cell Types Database data (cells/HH2/README.md); the Na channel file cites Pospischil et al. 2008 (doi:10.1007/s00422-008-0263-8). No publication describes this tuned cell itself.","MIT (OSB LICENSE, no exceptions stated)",https://github.com/OpenSourceBrain/MultiscaleISN/blob/f07834754d68263a03b6ab8d66b72f2049c6daf6/LICENSE,MultiscaleISN@f0783475,f07834754d68263a03b6ab8d66b72f2049c6daf6,pass,,pass,pass,pass,tonic,0.06447647018646267,0.0,4.870131081163683e-06,1488.9,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,IL;IM;Kd;LeakConductance;Na,pass,yes
pospischil2008_fs,Pospischil 2008 fast-spiking (FS) cell,pospischil2008,eligible,all criteria met,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,PospischilEtAl2008@049081c3,049081c39357d9e7c478b63ef7b10f374d1c50f4,pass,,pass,pass,pass,tonic,0.384297520661157,0.0,1.5001146901516143e-07,912.0,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,Kd;LeakConductance;Na,pass,yes
pospischil2008_ib,Pospischil 2008 intrinsically bursting (IB) cell,pospischil2008,eligible,all criteria met,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,PospischilEtAl2008@049081c3,049081c39357d9e7c478b63ef7b10f374d1c50f4,pass,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\pospischil2008_ib\reference\NeuroML2\channels\Ca\Ca.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":decayingPoolConcentrationModelPosp}'.; Validated 8 files: 7 passed, 1 failed",pass,pass,pass,tonic,0.10948705689502083,0.0,0.002019026029512697,1698.4,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,IL;IM;Kd;LeakConductance;Na,pass,no
pospischil2008_lts,Pospischil 2008 low-threshold-spiking (LTS) cell,pospischil2008,eligible,all criteria met,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,PospischilEtAl2008@049081c3,049081c39357d9e7c478b63ef7b10f374d1c50f4,pass,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\pospischil2008_lts\reference\NeuroML2\channels\Ca\Ca.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":decayingPoolConcentrationModelPosp}'.; File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\pospischil2008_lts\reference\NeuroML2\channels\IT\IT.channel.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; cvc-enumeration-valid: Value 'IT_s_gate' is not facet-valid with respect to enumeration '[gateHHrates, gateHHratesTau, gateHHtauInf, gateHHratesInf, gateHHratesTauInf, gateHHInstantaneous, gateKS, gateFractional]'.",pass,pass,pass,single_spike,0.038658561573663,0.0,0.002045539263618266,1680.5,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,IM;IT;Kd;LeakConductance;Na,pass,no
pospischil2008_rs,Pospischil 2008 regular-spiking (RS) cortical cell,pospischil2008,eligible,all criteria met,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Fregnac Y, Markram H, Destexhe A (2008). Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons. Biol Cybern 99(4-5):427-441. doi:10.1007/s00422-008-0263-8",MIT (NeuroML2 directory),https://github.com/OpenSourceBrain/PospischilEtAl2008/blob/049081c39357d9e7c478b63ef7b10f374d1c50f4/LICENSE,PospischilEtAl2008@049081c3,049081c39357d9e7c478b63ef7b10f374d1c50f4,pass,,pass,pass,pass,tonic,0.5606515948364182,0.0,0.003517949557482789,1326.3,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,IM;Kd;LeakConductance;Na,pass,no
prinz2004_abpd,Prinz et al. 2003/2004 stomatogastric AB/PD pacemaker neuron (AB_PD_3 parameter set),prinz_stg,needs human judgement,C08_responds_to_current: responds to current injection (rheobase found; at least one spike at 2x rheobase),"Prinz AA, Billimoria CP, Marder E (2003). Alternative to Hand-Tuning Conductance-Based Models: Construction and Analysis of Databases of Model Neurons. Journal of Neurophysiology 90(6):3998-4015. doi:10.1152/jn.00641.2003 | Prinz AA, Bucher D, Marder E (2004). Similar network activity from disparate circuit parameters. Nature Neuroscience 7(12):1345-1352. doi:10.1038/nn1352",MIT,https://github.com/OpenSourceBrain/PyloricNetwork/blob/e97696fca408ef375db6cbb2054bf8c1e5e5de0e/LICENSE,PyloricNetwork@e97696fc,e97696fca408ef375db6cbb2054bf8c1e5e5de0e,pass,,pass,pass,,bursting,0.0,8.0,0.03530833532016921,1242.0,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,CaS_STG;CaT_STG;H_STG;KA_STG;KCa_STG;Kd_STG;LeakConductance;Na_STG,pass,no
prinz2004_lp,Prinz et al. 2003/2004 stomatogastric LP neuron (LP_2 parameter set),prinz_stg,needs human judgement,C08_responds_to_current: responds to current injection (rheobase found; at least one spike at 2x rheobase),"Prinz AA, Billimoria CP, Marder E (2003). Alternative to Hand-Tuning Conductance-Based Models: Construction and Analysis of Databases of Model Neurons. Journal of Neurophysiology 90(6):3998-4015. doi:10.1152/jn.00641.2003 | Prinz AA, Bucher D, Marder E (2004). Similar network activity from disparate circuit parameters. Nature Neuroscience 7(12):1345-1352. doi:10.1038/nn1352",MIT,https://github.com/OpenSourceBrain/PyloricNetwork/blob/e97696fca408ef375db6cbb2054bf8c1e5e5de0e/LICENSE,PyloricNetwork@e97696fc,e97696fca408ef375db6cbb2054bf8c1e5e5de0e,pass,,pass,pass,,bursting,0.0,11.0,0.48097035173157643,1247.6,pass,pass,7/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,CaS_STG;CaT_STG;H_STG;KA_STG;KCa_STG;Kd_STG;LeakConductance;Na_STG,pass,no
smith2013_singlecomp,Single-compartment cell with the Smith et al. 2013 L2/3 pyramidal channel set (OSB test cell),smith2013,eligible,all criteria met,"Smith SL, Smith IT, Branco T, Häusser M (2013). Dendritic spikes enhance stimulus selectivity in cortical neurons in vivo. Nature 503(7474):115-120. doi:10.1038/nature12600",MIT,https://github.com/OpenSourceBrain/SmithEtAl2013-L23DendriticSpikes/blob/179c596e44303ad08065d1eb7eafc23506478f99/LICENSE,SmithEtAl2013-L23DendriticSpikes@179c596e,179c596e44303ad08065d1eb7eafc23506478f99,pass,,pass,pass,pass,tonic,0.02165152653507274,0.0,9.039776815332652e-05,2147.5,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,ca;it;kca;km;kv;na;pas,pass,no
solinas2007_goc_gurnani,"Solinas et al. 2007 cerebellar Golgi cell, 5-segment morphology (GoCl, GoCModel_Basic)",solinas2007,excluded,"C04_validation: passes NeuroML validation (cell and harness network files; relative oracle, D-006); C05_executes: shipped simulation executes without manual intervention; C06_trace_interpretable: membrane-voltage trace finite and within -130..+80 mV; C07_recording_location: recording location resolved (harness output column read)","Solinas S, Forti L, Cesana E, Mapelli J, De Schutter E, D'Angelo E (2007). Computational reconstruction of pacemaking and intrinsic electroresponsiveness in cerebellar Golgi cells. Frontiers in Cellular Neuroscience 1:2. doi:10.3389/neuro.03.002.2007 (cited in the README; the Crossref record lists only 'Solinas'). Related work by the repository author, not cited by the repository: Gurnani H, Silver RA (2021). Neuron 109(10):1739-1753.e8. doi:10.1016/j.neuron.2021.03.027",GPL-3.0,https://github.com/harshagurnani/GoCModel_Basic/blob/90950b59d5dc3e285f2c05cf9d26e39a4357c2ab/LICENSE,GoCModel_Basic@90950b59,90950b59d5dc3e285f2c05cf9d26e39a4357c2ab,fail,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\solinas2007_goc_gurnani\reference\Cells\Golgi\GoC.cell.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":species}'.; File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\solinas2007_goc_gurnani\reference\Mechanisms\Golgi_BK.channel.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\solinas2007_goc_gurnani\reference\Mechanisms\Golgi_NaR.channel.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!",fail,fail,,,,,,,,,,,,,GolgiBK;GolgiCaHVA;GolgiCaLVA;GolgiHCN1f;GolgiHCN1s;GolgiHCN2f;GolgiHCN2s;GolgiKA;GolgiKM;GolgiKV;GolgiNa;GolgiNaP;GolgiNaR;GolgiSK2;LeakConductance,,no
traub2005_testseg2,"Traub et al. 2005 channel test cell 2 (Na/K channel subset in one compartment, TestSeg_test2)",traub2005,eligible,all criteria met,"Traub RD, Contreras D, Cunningham MO, Murray H, LeBeau FEN, Roopun A, Bibbig A, Wilent WB, Higley MJ, Whittington MA (2005). Single-Column Thalamocortical Network Model Exhibiting Gamma Oscillations, Sleep Spindles, and Epileptogenic Bursts. Journal of Neurophysiology 93(4):2194-2232. doi:10.1152/jn.00983.2004","GPL-2.0 (LICENSE preamble: applies to everything except directories Neuron, Fortran_ifc and Fortran_g77, which carry a cite-on-use condition)",https://github.com/OpenSourceBrain/Thalamocortical/blob/5d1c9aea16598092b6a2e75974465b9f4cd7ccc7/LICENSE,Thalamocortical@5d1c9aea,5d1c9aea16598092b6a2e75974465b9f4cd7ccc7,pass,,pass,pass,pass,tonic,0.01710948705689502,0.0,4.3996659774901356e-05,2244.2,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,k2;ka;ka_ib;kdr;kdr_fs;km;naf;naf2;naf_tcr;nap;napf;napf_spinstell;napf_tcr;pas,pass,no
traub2005_testseg_all,Traub et al. 2005 channel test cell with almost all channels in one compartment (TestSeg_all),traub2005,eligible,all criteria met,"Traub RD, Contreras D, Cunningham MO, Murray H, LeBeau FEN, Roopun A, Bibbig A, Wilent WB, Higley MJ, Whittington MA (2005). Single-Column Thalamocortical Network Model Exhibiting Gamma Oscillations, Sleep Spindles, and Epileptogenic Bursts. Journal of Neurophysiology 93(4):2194-2232. doi:10.1152/jn.00983.2004","GPL-2.0 (LICENSE preamble: applies to everything except directories Neuron, Fortran_ifc and Fortran_g77, which carry a cite-on-use condition)",https://github.com/OpenSourceBrain/Thalamocortical/blob/5d1c9aea16598092b6a2e75974465b9f4cd7ccc7/LICENSE,Thalamocortical@5d1c9aea,5d1c9aea16598092b6a2e75974465b9f4cd7ccc7,pass,"File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\traub2005_testseg_all\reference\neuroConstruct\generatedNeuroML2\cad__beta0_03__phi300000.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":fixedFactorConcentrationModelTraub}'.; File: C:\Users\gurra\NeuroSem\work\variants\curation-v4\traub2005_testseg_all\reference\neuroConstruct\generatedNeuroML2\kc.channel.nml is not valid against the schema: /Schemas/NeuroML2/NeuroML_v2.3.1.xsd!!; Error when parsing against Schema (class org.xml.sax.SAXParseException):; cvc-complex-type.2.4.a: Invalid content was found starting with element '{""http://www.neuroml.org/schema/neuroml2"":baseConductanceScalingCaDependent}'.",pass,pass,pass,tonic,0.06143706031008811,0.0,0.43305858007842846,3363.7,pass,pass,0/64,pass,pass,duplicate_conductance;omit_include;scale_capacitance;scale_conductance;scale_gate_time_constant;shift_initial_voltage;shift_reversal;wrong_channel;wrong_compatible_component;wrong_segment_group,ar__m00_25;cal;cat;cat_a;k2;ka;ka_ib;kahp;kahp_deeppyr;kahp_slower;kc;kc_fast;kdr;kdr_fs;km;naf;naf2;naf_tcr;nap;napf;napf_spinstell;napf_tcr;pas,pass,no
