model_id,variant_id,protocol_id,refinement_level,planned,validation_levels
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-2c628fb0f6,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-9553007c36,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-shift_reversal-513c92c08b,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P07_hyperpolarizing_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P08_rebound,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P08_rebound,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P08_rebound,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P09_short_pulse,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P09_short_pulse,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-d750ebfac4,P09_short_pulse,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P00_canonical,h,always,"B,C"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P00_canonical,h/2,if detected at h,"B,C"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P00_canonical,h/4,if an apparent canonical survivor,"B,C"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P02_weak_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P02_weak_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P02_weak_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P03_rheobase,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P03_rheobase,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P03_rheobase,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P04_step_2x,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P04_step_2x,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P04_step_2x,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P05_long_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P05_long_step,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P05_long_step,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P06_ramp,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P06_ramp,h/2,if detected at h,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P06_ramp,h/4,if an apparent canonical survivor,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P07_hyperpolarizing_step,h,always,"D,E"
acnet2_pyr_soma,m-scale_capacitance-e86da299c1,P07_hyperpolarizing_step,h/2,if detected at h,"D,E"
